	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL
0	本科及以上	5年以上	15-25k·15薪	2020年04月10日	人事行政经理	深圳	中证葛洲坝城市发展(深圳)产业投资基金管理有限公司	https://www.liepin.com/job/1927349445.shtml	https://www.liepin.com/company/9193897/
1	本科及以上	4年以上	7-10k·12薪	2020年04月10日	财务主管（集团，晋升完善）	广州-白云区	广州素萃化妆品有限公司	https://www.liepin.com/job/1927349275.shtml	https://www.liepin.com/company/9180807/
2	本科及以上	2年以上	7-14k·14薪	2020年04月10日	董事长秘书/助理	深圳	劲嘉股份	https://www.liepin.com/job/1927348763.shtml	https://www.liepin.com/company/8576362/
3	统招本科	3年以上	15-17k·12薪	2020年04月10日	产品经理	北京	京北方信息技术股份有限公司	https://www.liepin.com/job/1927348683.shtml	https://www.liepin.com/company/885682/
4	大专及以上	2年以上	面议	2020年04月10日	应用开发工程师	上海	上海赫千电子科技有限公司	https://www.liepin.com/job/1927348341.shtml	https://www.liepin.com/company/9342017/
5	本科及以上	5年以上	8-11k·14薪	2020年04月10日	预算主管	厦门	七匹狼控股集团股份有限公司	https://www.liepin.com/job/1927348093.shtml	https://www.liepin.com/company/7902722/
6	统招本科	5年以上	16-25k·12薪	2020年04月10日	财务资产部副主任	合肥	安徽继远软件有限公司	https://www.liepin.com/job/1927347997.shtml	https://www.liepin.com/company/9432218/
7	大专及以上	1年以上	5-8k·12薪	2020年04月10日	设计工程师	常州-金坛区	江苏常友环保科技股份有限公司	https://www.liepin.com/job/1927347439.shtml	https://www.liepin.com/company/10182239/
8	大专及以上	1年以上	6-12k·12薪	2020年04月10日	工艺技术工程师	常州-金坛区	江苏常友环保科技股份有限公司	https://www.liepin.com/job/1927347377.shtml	https://www.liepin.com/company/10182239/
9	大专及以上	5年以上	4-6k·12薪	2020年04月10日	幼儿园教学主任	山东	思马特(青岛)教育发展有限公司	https://www.liepin.com/job/1927347349.shtml	https://www.liepin.com/company/9515739/
10	本科及以上	3年以上	8-15k·12薪	2020年04月10日	医疗供应链客户经理	昆明	望海康信	https://www.liepin.com/job/1927346391.shtml	https://www.liepin.com/company/7995388/
11	大专及以上	7年以上	8-18k·12薪	2020年04月10日	注塑工程师	阳江	阳江纳谷	https://www.liepin.com/job/1927346135.shtml	https://www.liepin.com/company/1769363/
12	本科及以上	5年以上	24-25k·12薪	2020年04月10日	SMT 工艺工程师	上海-杨浦区	嬴彻科技	https://www.liepin.com/job/1927346041.shtml	https://www.liepin.com/company/9671797/
13	本科及以上	3年以上	30-55k·12薪	2020年04月10日	反欺诈策略专家		哈尔滨哈银消费金融有限责任公司	https://www.liepin.com/job/1927345503.shtml	https://www.liepin.com/company/8960574/
14	本科及以上	5年以上	10-13k·13薪	2020年04月10日	Java微服务开发	长春	恩梯梯数据(中国)	https://www.liepin.com/job/1927345471.shtml	https://www.liepin.com/company/6629285/
15	学历不限	2年以上	15-20k·12薪	2020年04月10日	抖音短视频运营	杭州-江干区	杭州您乐文化创意有限公司	https://www.liepin.com/job/1927344467.shtml	https://www.liepin.com/company/9616504/
