	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL
0	本科及以上	8年以上	15-25k·12薪	2020年04月10日	静设备工程师	上海	赫拉环境保护技术有限公司	https://www.liepin.com/job/1926565685.shtml	https://www.liepin.com/company/7868406/
1	本科及以上	3年以上	8-15k·12薪	2020年04月10日	公关外联经理	宜昌	宜昌七朵云环境治理有限公司	https://www.liepin.com/job/1926561605.shtml	https://www.liepin.com/company/10269059/
2	本科及以上	3年以上	10-20k·12薪	2020年04月10日	财务经理	宜昌	宜昌七朵云环境治理有限公司	https://www.liepin.com/job/1926561249.shtml	https://www.liepin.com/company/10269059/
3	统招本科	3年以上	面议	2020年04月10日	嵌入式硬件开发工程师	珠海-香洲区	珠海普林芯驰科技有限公司	https://www.liepin.com/job/1926520959.shtml	https://www.liepin.com/company/9626894/
4	统招本科	3年以上	8-15k·13薪	2020年04月10日	项目申报专员	杭州-江干区	浙江蓝景科技有限公司	https://www.liepin.com/job/1926512241.shtml	https://www.liepin.com/company/10284219/
5	本科及以上	4年以上	20-35k·14薪	2020年04月10日	产品经理-直销银行	上海-浦东新区	你我贷	https://www.liepin.com/job/1926490675.shtml	https://www.liepin.com/company/8639190/
6	学历不限	3年以上	9-12k·12薪	2020年04月10日	iOS开发工程师	长春-经开区	青胴(吉林)网络科技有限公司	https://www.liepin.com/job/1926478545.shtml	https://www.liepin.com/company/10003219/
7	学历不限	3年以上	9-12k·12薪	2020年04月10日	Android开发工程师	长春-经开区	青胴(吉林)网络科技有限公司	https://www.liepin.com/job/1926478439.shtml	https://www.liepin.com/company/10003219/
8	统招本科	5年以上	15-20k·12薪	2020年04月10日	培训绩效经理（总部）	深圳-福田区	万润科技	https://www.liepin.com/job/1926465233.shtml	https://www.liepin.com/company/1527296/
9	统招本科	3年以上	8-14k·12薪	2020年04月10日	招聘经理	北京	北京罗伊教育科技有限公司	https://www.liepin.com/job/1926463625.shtml	https://www.liepin.com/company/9619734/
