	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL
0	本科及以上	10年以上	15-25k·12薪	2020年04月10日	工程总监	深圳	保利物业	https://www.liepin.com/job/1927266433.shtml	https://www.liepin.com/company/1478964/
1	本科及以上	8年以上	30-50k·12薪	2020年04月10日	国贸物业公司总经理	深圳	深物业A	https://www.liepin.com/job/1927266361.shtml	https://www.liepin.com/company/8057467/
2	大专及以上	1年以上	4-8k·12薪	2020年04月10日	招聘专员	成都	成都奇林智媒文化传播有限公司	https://www.liepin.com/job/1927266121.shtml	https://www.liepin.com/company/10033671/
3	统招本科	8年以上	面议	2020年04月10日	OE Project Manager 项目经理-整机	北京	久益环球(天津)装备制造有限公司	https://www.liepin.com/job/1927265183.shtml	https://www.liepin.com/company/10220143/
4	本科及以上	3年以上	8-12k·12薪	2020年04月10日	包装设计师	深圳	瑾萱电子(深圳)有限公司	https://www.liepin.com/job/1927264081.shtml	https://www.liepin.com/company/10281777/
5	大专及以上	8年以上	10-15k·12薪	2020年04月10日	项目技术负责人		上海星辰建设工程有限公司	https://www.liepin.com/job/1927262583.shtml	https://www.liepin.com/company/8062925/
6	本科及以上	3年以上	12-20k·13薪	2020年04月10日	总裁助理	上海-虹口区	上海凡欣展览服务有限公司	https://www.liepin.com/job/1927262459.shtml	https://www.liepin.com/company/9876151/
7	本科及以上	2年以上	面议	2020年04月10日	Electrical Engineer 电子工程师	珠海	珠海确励电子有限公司	https://www.liepin.com/job/1927262265.shtml	https://www.liepin.com/company/12183691/
8	本科及以上	2年以上	10-15k·12薪	2020年04月10日	Internal Controller	上海-静安区	卡索多丽娅贸易(上海)有限公司	https://www.liepin.com/job/1927262009.shtml	https://www.liepin.com/company/9094662/
9	大专及以上	5年以上	30-60k·12薪	2020年04月10日	项目经理/产品经理	珠海	珠海天威飞马打印耗材有限公司	https://www.liepin.com/job/1927257237.shtml	https://www.liepin.com/company/2197414/
10	本科及以上	4年以上	20-30k·14薪	2020年04月10日	高级财经编辑	上海	你我贷	https://www.liepin.com/job/1927250601.shtml	https://www.liepin.com/company/8639190/
11	本科及以上	10年以上	25-30k·12薪	2020年04月10日	工程管理中心总监	深圳-福田区	深圳安星建设集团有限公司	https://www.liepin.com/job/1927250195.shtml	https://www.liepin.com/company/10107425/
12	统招本科	5年以上	面议	2020年04月10日	Sales Manager	常州	锐课企业管理咨询(上海)有限公司	https://www.liepin.com/job/1927250185.shtml	https://www.liepin.com/company/9636151/
13	本科及以上	10年以上	20-40k·12薪	2020年04月10日	总经理（大宗商品）	长沙	湖南嘉德集团有限公司	https://www.liepin.com/job/1927247125.shtml	https://www.liepin.com/company/9289086/
14	本科及以上	10年以上	20-40k·12薪	2020年04月10日	总经理（大宗商品）	广州	湖南嘉德集团有限公司	https://www.liepin.com/job/1927247123.shtml	https://www.liepin.com/company/9289086/
15	大专及以上	3年以上	8-12k·12薪	2020年04月10日	仓储运营经理（生鲜仓、DC仓）	佛山	佛山顺德国通物流城有限公司	https://www.liepin.com/job/1927245939.shtml	https://www.liepin.com/company/8093316/
16	统招本科	8年以上	20-40k·13薪	2020年04月10日	高级HRBP （北京研发域）		普源精电科技股份有限公司	https://www.liepin.com/job/1927236401.shtml	https://www.liepin.com/company/8274705/
17	统招本科	6年以上	15-25k·16薪	2020年04月10日	干部管理经理	深圳	华星光电	https://www.liepin.com/job/1927228767.shtml	https://www.liepin.com/company/671058/
18	本科及以上	6年以上	面议	2020年04月10日	Test & Validation Engineer	上海	科尔帕默实验设备(上海)有限公司	https://www.liepin.com/job/1927223361.shtml	https://www.liepin.com/company/8740835/
19	本科及以上	3年以上	15-30k·12薪	2020年04月10日	电网销业务销售推动岗	上海-浦东新区	中国太平洋财产保险股份有限公司	https://www.liepin.com/job/1927218223.shtml	https://www.liepin.com/company/6539011/
20	统招本科	3年以上	8-16k·12薪	2020年04月10日	人力行政主管	深圳-南山区	深圳市天健地产集团有限公司	https://www.liepin.com/job/1927217781.shtml	https://www.liepin.com/company/9542952/
21	统招本科	5年以上	15-25k·12薪	2020年04月10日	高级产品企划	中山	华帝股份	https://www.liepin.com/job/1927216631.shtml	https://www.liepin.com/company/7925053/
22	大专及以上	3年以上	8-15k·12薪	2020年04月10日	华东/华北/华东区医疗器械销售经理	上海	上海邦邦机器人有限公司	https://www.liepin.com/job/1927213927.shtml	https://www.liepin.com/company/8956435/
23	硕士及以上	2年以上	10-18k·16薪	2020年04月10日	资深机理工程师	珠海-斗门区	珠海冠宇电池有限公司	https://www.liepin.com/job/1927212893.shtml	https://www.liepin.com/company/8038231/
24	本科及以上	6年以上	面议	2020年04月10日	Cost Engineer (钦州项目)	钦州	苏伊士(上海)环境服务有限公司	https://www.liepin.com/job/1927211395.shtml	https://www.liepin.com/company/10005647/
25	学历不限	1年以上	6-7k·13薪	2020年04月10日	采购工程师	深圳-宝安区	深圳影迈科技有限公司	https://www.liepin.com/job/1927211369.shtml	https://www.liepin.com/company/9536304/
26	大专及以上	3年以上	30-60k·12薪	2020年04月10日	心理咨询师	上海-松江区	上海戒成健康咨询有限公司	https://www.liepin.com/job/1927202691.shtml	https://www.liepin.com/company/12193883/
27	本科及以上	3年以上	面议	2020年04月10日	售后主管	济南	广东奥马冰箱有限公司	https://www.liepin.com/job/1927199191.shtml	https://www.liepin.com/company/8785568/
28	本科及以上	10年以上	45-60k·14薪	2020年04月10日	内审总监	上海	你我贷	https://www.liepin.com/job/1927191495.shtml	https://www.liepin.com/company/8639190/
