	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL
0	本科及以上	5年以上	20-30k·12薪	2020年04月10日	审计经理（工程）	北京	万新控股集团	https://www.liepin.com/job/1926886031.shtml	https://www.liepin.com/company/8170645/
1	统招本科	5年以上	20-30k·13薪	2020年04月10日	IT信息技术部负责人	深圳	横琴淳臻投资管理中心(有限合伙)	https://www.liepin.com/job/1926884249.shtml	https://www.liepin.com/company/9776891/
2	统招本科	经验不限	15-20k·12薪	2020年04月10日	Assistant to CEO(人工智能方向)	上海	赫比国际	https://www.liepin.com/job/1926878017.shtml	https://www.liepin.com/company/9431791/
3	本科及以上	3年以上	15-25k·12薪	2020年04月10日	4G/5G无线性能系统工程师	上海-徐汇区	上海大唐移动通信设备有限公司	https://www.liepin.com/job/1926874883.shtml	https://www.liepin.com/company/8694731/
4	大专及以上	1年以上	4-6k·12薪	2020年04月10日	仓储物流储备员	天津-武清区	绝味食品	https://www.liepin.com/job/1926873919.shtml	https://www.liepin.com/company/9216518/
5	统招本科	1年以上	7-11k·13薪	2020年04月10日	Business Analyst	苏州	哈斯曼制冷科技(苏州)有限公司	https://www.liepin.com/job/1926868727.shtml	https://www.liepin.com/company/9491324/
6	学历不限	经验不限	4-6k·12薪	2020年04月10日	装配钳工+五险一金	广州	广州阿普顿自动化系统有限公司	https://www.liepin.com/job/1926857413.shtml	https://www.liepin.com/company/10084123/
7	大专及以上	2年以上	6-8k·12薪	2020年04月10日	选址开发	常州-金坛区	江苏五香居食品有限公司	https://www.liepin.com/job/1926849267.shtml	https://www.liepin.com/company/8501262/
8	统招本科	3年以上	面议	2020年04月10日	业务经理	福州	宁波金融资产管理股份有限公司	https://www.liepin.com/job/1926840845.shtml	https://www.liepin.com/company/12181509/
9	本科及以上	8年以上	25-35k·12薪	2020年04月10日	销售总监（储备）	廊坊	北京绿宸控股集团有限公司	https://www.liepin.com/job/1926837073.shtml	https://www.liepin.com/company/8017931/
10	本科及以上	3年以上	面议	2020年04月10日	电网工程三维设计研发专职	杭州	浙江华云电力工程设计咨询有限公司	https://www.liepin.com/job/1926834341.shtml	https://www.liepin.com/company/12165077/
11	本科及以上	5年以上	18-22k·12薪	2020年04月10日	行政总监	上海	上海金都投资集团有限公司	https://www.liepin.com/job/1926828915.shtml	https://www.liepin.com/company/8077948/
12	统招本科	3年以上	6-10k·13薪	2020年04月10日	培训专员/主管	广州	佳都新太科技	https://www.liepin.com/job/1926828301.shtml	https://www.liepin.com/company/2115085/
13	大专及以上	3年以上	8-10k·14薪	2020年04月10日	校园招聘渠道主管	成都-武侯区	京东商城	https://www.liepin.com/job/1926813757.shtml	https://www.liepin.com/company/8629172/
