	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL
14	统招本科	2年以上	10-18k·14薪	2020年04月10日	用户运营	广州	车行易	https://www.liepin.com/job/1926812715.shtml	https://www.liepin.com/company/8379198/
15	学历不限	3年以上	10-20k·12薪	2020年04月10日	新零售销售总监（高提成）	广州-天河北	广州傲之美化妆品有限公司	https://www.liepin.com/job/1926801869.shtml	https://www.liepin.com/company/8132239/
16	统招本科	2年以上	面议	2020年04月10日	系统开发岗（总行研发中心）	广州-天河区	中国光大银行股份有限公司广州分行	https://www.liepin.com/job/1926795521.shtml	https://www.liepin.com/company/8521820/
17	统招本科	3年以上	面议	2020年04月10日	技术经理岗（总行研发中心）	广州-天河区	中国光大银行股份有限公司广州分行	https://www.liepin.com/job/1926795081.shtml	https://www.liepin.com/company/8521820/
18	统招本科	5年以上	面议	2020年04月10日	营销管理部机构督导中心主管/专员		渤海人寿	https://www.liepin.com/job/1926788985.shtml	https://www.liepin.com/company/8641359/
19	统招本科	1年以上	7-10k·15薪	2020年04月10日	人事行政中心干部管理岗	深圳	富德保险控股股份有限公司	https://www.liepin.com/job/1926786183.shtml	https://www.liepin.com/company/9261032/
20	统招本科	3年以上	23-30k·12薪	2020年04月10日	商业地产投资经理	北京	远洋商业管理有限公司北京朝阳分公司	https://www.liepin.com/job/1926771515.shtml	https://www.liepin.com/company/7890522/
21	统招本科	4年以上	面议	2020年04月10日	NVH CAE 工程师	广州	英知创机械科技(上海)有限公司广州分公司	https://www.liepin.com/job/1926765007.shtml	https://www.liepin.com/company/9885447/
22	本科及以上	3年以上	9-16k·13薪	2020年04月10日	嵌入式电源（高级）研发工程师	深圳-宝安区	深圳雅达电源	https://www.liepin.com/job/1926754259.shtml	https://www.liepin.com/company/8046710/
23	大专及以上	2年以上	6-8k·13薪	2020年04月10日	Assistant Officer, Finance	深圳-宝安区	深圳雅达电源	https://www.liepin.com/job/1926733591.shtml	https://www.liepin.com/company/8046710/
24	本科及以上	10年以上	40-70k·12薪	2020年04月10日	研发副总	苏州-虎丘区	苏州清听声学科技有限公司	https://www.liepin.com/job/1926723221.shtml	https://www.liepin.com/company/10003915/
25	本科及以上	3年以上	15-20k·12薪	2020年04月10日	电机驱动工程师	深圳	深圳市创荣发电子有限公司	https://www.liepin.com/job/1926720069.shtml	https://www.liepin.com/company/8224555/
26	本科及以上	1年以上	7-10k·12薪	2020年04月10日	物流内勤	杭州-江干区	杭实国贸投资(杭州)有限公司	https://www.liepin.com/job/1926714941.shtml	https://www.liepin.com/company/9864437/
27	本科及以上	5年以上	面议	2020年04月10日	Production Supervisor 生产主管	苏州	罗杰斯科技(苏州)有限公司	https://www.liepin.com/job/1926703947.shtml	https://www.liepin.com/company/7875305/
28	统招本科	5年以上	10-20k·12薪	2020年04月10日	高级营销经理（广东/广西/福建）	广州-珠江新城	特变电工新能源	https://www.liepin.com/job/1926687921.shtml	https://www.liepin.com/company/7953390/
29	统招本科	5年以上	10-20k·12薪	2020年04月10日	高级营销经理（湖北/湖南/天津/河北）	武汉-硚口区	特变电工新能源	https://www.liepin.com/job/1926687871.shtml	https://www.liepin.com/company/7953390/
30	统招本科	5年以上	面议	2020年04月10日	区域营销副总经理	成都-武侯区	特变电工新能源	https://www.liepin.com/job/1926686813.shtml	https://www.liepin.com/company/7953390/
31	本科及以上	5年以上	15-20k·12薪	2020年04月10日	私行副行长（零售端团队经理）		宜信公司	https://www.liepin.com/job/1926684501.shtml	https://www.liepin.com/company/891743/
32	统招本科	2年以上	9-13k·13薪	2020年04月10日	证券事务主管	广州	天地壹号	https://www.liepin.com/job/1926665983.shtml	https://www.liepin.com/company/6851696/
33	统招本科	经验不限	7-10k·12薪	2020年04月10日	业务内勤（杭实能源）	杭州-江干区	杭实国贸投资(杭州)有限公司	https://www.liepin.com/job/1926662273.shtml	https://www.liepin.com/company/9864437/
34	统招本科	3年以上	16-33k·12薪	2020年04月10日	人事专员	东莞	兴业银行股份有限公司东莞分行	https://www.liepin.com/job/1926659975.shtml	https://www.liepin.com/company/9233983/
35	本科及以上	经验不限	4-5k·12薪	2020年04月10日	行政前台	广州-珠江新城	中国光大银行股份有限公司广州分行	https://www.liepin.com/job/1926655393.shtml	https://www.liepin.com/company/8521820/
36	统招本科	1年以上	6-10k·15薪	2020年04月10日	生产计划/物料管理PMC	广州-花都区	广州东风安道拓座椅有限公司	https://www.liepin.com/job/1926613521.shtml	https://www.liepin.com/company/1727807/
37	本科及以上	5年以上	12-18k·14薪	2020年04月10日	绩效薪酬经理（总部）	成都	通威股份	https://www.liepin.com/job/1926610481.shtml	https://www.liepin.com/company/682357/
38	本科及以上	经验不限	10-20k·12薪	2020年04月10日	FPGA开发工程师	广州	海格通信广州公司	https://www.liepin.com/job/1926588443.shtml	https://www.liepin.com/company/8840878/
39	大专及以上	3年以上	面议	2020年04月10日	绿化工程师	合肥	安徽斌锋控股集团有限公司	https://www.liepin.com/job/1926571603.shtml	https://www.liepin.com/company/9087160/
