	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL
0	统招本科	3年以上	面议	2020年04月10日	管理会计高专	厦门-莲前	厦门钨业	https://www.liepin.com/job/1916736857.shtml	https://www.liepin.com/company/7931578/
1	大专及以上	3年以上	10-15k·13薪	2020年04月10日	平面设计主管/视觉主管（服饰）	广州-嘉禾	衣酷集团	https://www.liepin.com/job/1916231663.shtml	https://www.liepin.com/company/7905352/
2	硕士及以上	2年以上	9-15k·14薪	2020年04月10日	股票交易专员	成都-高新区	泓和投资	https://www.liepin.com/job/1916139865.shtml	https://www.liepin.com/company/8488253/
3	本科及以上	8年以上	面议	2020年04月10日	财务总监	深圳-盐田区	深圳中萃企业管理有限公司	https://www.liepin.com/job/1916041461.shtml	https://www.liepin.com/company/9734520/
4	本科及以上	2年以上	10-20k·12薪	2020年04月10日	私行理财规划师	天津	宜信公司	https://www.liepin.com/job/1915831255.shtml	https://www.liepin.com/company/891743/
5	统招本科	5年以上	面议	2020年04月10日	资金经理	上海	南京朗诗寓商业管理有限公司	https://www.liepin.com/job/1915637224.shtml	https://www.liepin.com/company/9473211/
6	学历不限	经验不限	10-20k·12薪	2020年04月10日	射频电路设计师	广州	海格通信广州公司	https://www.liepin.com/job/1915408437.shtml	https://www.liepin.com/company/8840878/
7	硕士及以上	1年以上	8-12k·14薪	2020年04月10日	免疫细胞培养检测专员	苏州-独墅湖	苏州克睿基因	https://www.liepin.com/job/1915248197.shtml	https://www.liepin.com/company/8865739/
8	统招本科	5年以上	30-40k·12薪	2020年04月10日	地产成都区域营销经理	成都	正荣	https://www.liepin.com/job/1915180811.shtml	https://www.liepin.com/company/7854658/
9	统招本科	经验不限	8-11k·12薪	2020年04月10日	融资助理	杭州-火车东站	北京方圆金鼎投资管理有限公司	https://www.liepin.com/job/1915124968.shtml	https://www.liepin.com/company/9267628/
10	统招本科	8年以上	10-20k·12薪	2020年04月10日	贵宾团队经理(10000129)	天津-小白楼	宜信公司	https://www.liepin.com/job/1914927767.shtml	https://www.liepin.com/company/891743/
11	本科及以上	2年以上	5-10k·13薪	2020年04月10日	研发分析员（QR）	台州	海翔药业	https://www.liepin.com/job/1914771981.shtml	https://www.liepin.com/company/2694358/
12	本科及以上	3年以上	5-6k·12薪	2020年04月10日	助理咨询师	深圳-福田区	深圳市康达信房地产管理顾问有限公司	https://www.liepin.com/job/1914645722.shtml	https://www.liepin.com/company/7903540/
13	本科及以上	5年以上	10-15k·13薪	2020年04月10日	HRBP	杭州-余杭区	晶盛机电	https://www.liepin.com/job/1914463012.shtml	https://www.liepin.com/company/8634578/
14	大专及以上	1年以上	6-10k·12薪	2020年04月10日	客服专员-上海-00232	上海-张江	领健信息	https://www.liepin.com/job/1914084016.shtml	https://www.liepin.com/company/8662600/
15	中专/中技及以上	2年以上	6-8k·12薪	2020年04月10日	ME工程师	宁波-慈溪	宏一集团有限公司	https://www.liepin.com/job/1914042309.shtml	https://www.liepin.com/company/8111414/
16	大专及以上	2年以上	4-7k·14薪	2020年04月10日	仓库管理员	成都	成都百施特金刚石钻头有限公司	https://www.liepin.com/job/1913959376.shtml	https://www.liepin.com/company/9188129/
17	本科及以上	经验不限	12-18k·12薪	2020年04月10日	软件研发工程师		北京森美希克玛生物科技有限公司	https://www.liepin.com/job/1913800136.shtml	https://www.liepin.com/company/8068766/
18	学历不限	经验不限	面议	2020年04月10日	（急）土建工程师/主管 Civil Engineer	上海-南京东路	格利资工程咨询	https://www.liepin.com/job/1913793443.shtml	https://www.liepin.com/company/7991487/
19	本科及以上	5年以上	8-15k·12薪	2020年04月10日	市场经理	临沂	山东锣响汽车制造有限公司	https://www.liepin.com/job/1913633022.shtml	https://www.liepin.com/company/9288273/
20	学历不限	3年以上	15-30k·12薪	2020年04月10日	大客户经理	上海-中山北路	地面通信息	https://www.liepin.com/job/1913448619.shtml	https://www.liepin.com/company/7855349/
21	统招本科	2年以上	面议	2020年04月10日	总部绩效管理岗	杭州-庆春路	杭州市商贸旅游集团有限公司	https://www.liepin.com/job/1913346765.shtml	https://www.liepin.com/company/9492891/
22	统招本科	5年以上	10-20k·12薪	2020年04月10日	资金经理	南京	南京朗诗寓商业管理有限公司	https://www.liepin.com/job/1913138464.shtml	https://www.liepin.com/company/9473211/
23	统招本科	5年以上	12-18k·12薪	2020年04月10日	计划运营经理	南昌	江西众森实业集团有限公司	https://www.liepin.com/job/1912763947.shtml	https://www.liepin.com/company/7948610/
24	统招本科	3年以上	面议	2020年04月10日	投资法务专员	深圳-益田村	保利达中国置地	https://www.liepin.com/job/1912651896.shtml	https://www.liepin.com/company/8042723/
25	统招本科	3年以上	9-15k·12薪	2020年04月10日	电气工程师	深圳-观澜	轴心自控	https://www.liepin.com/job/1912563465.shtml	https://www.liepin.com/company/7674188/
26	统招本科	5年以上	面议	2020年04月10日	法务总监/经理	长沙-开福区	湖南嘉德集团有限公司	https://www.liepin.com/job/1911710539.shtml	https://www.liepin.com/company/9289086/
27	大专及以上	5年以上	10-20k·12薪	2020年04月10日	高级理财师	北京	宜信公司	https://www.liepin.com/job/1911401645.shtml	https://www.liepin.com/company/891743/
28	统招本科	1年以上	面议	2020年04月10日	医药大数据客户经理	上海	中国医药工业信息中心	https://www.liepin.com/job/1911275294.shtml	https://www.liepin.com/company/8502916/
29	统招本科	经验不限	面议	2020年04月10日	董事长秘书	杭州-文三路	立元集团	https://www.liepin.com/job/1911186992.shtml	https://www.liepin.com/company/7854275/
30	本科及以上	3年以上	面议	2020年04月10日	理财经理	上海	绿地金融投资控股集团有限公司	https://www.liepin.com/job/1910295696.shtml	https://www.liepin.com/company/8579686/
31	统招本科	1年以上	5-7k·12薪	2020年04月10日	综合办公室人员	湖北	武汉现代物流研究院有限公司	https://www.liepin.com/job/1910088606.shtml	https://www.liepin.com/company/9180929/
32	统招本科	4年以上	面议	2020年04月10日	咨询师/高级咨询师	广州	深圳市康达信房地产管理顾问有限公司	https://www.liepin.com/job/199031766.shtml	https://www.liepin.com/company/7903540/
